index,price_id,date,client_category,house_category_id
,6,2018-01-01 00:00:00.000000,COMPANY_WORKER,1
,7,2018-01-01 00:00:00.000000,NON_COMPANY_WORKER,1
,8,2018-01-01 00:00:00.000000,COMPANY_WORKER,2
,9,2018-01-01 00:00:00.000000,NON_COMPANY_WORKER,2
,10,2018-01-01 00:00:00.000000,COMPANY_WORKER,4
,11,2018-01-01 00:00:00.000000,NON_COMPANY_WORKER,4
,12,2018-01-01 00:00:00.000000,NON_COMPANY_WORKER,5
,13,2018-01-01 00:00:00.000000,COMPANY_WORKER,5
,14,2018-01-01 00:00:00.000000,COMPANY_WORKER,3
,15,2018-01-01 00:00:00.000000,NON_COMPANY_WORKER,3
,16,2018-01-02 00:00:00.000000,COMPANY_WORKER,1
,17,2018-01-02 00:00:00.000000,NON_COMPANY_WORKER,1
,18,2018-01-02 00:00:00.000000,COMPANY_WORKER,2
,19,2018-01-02 00:00:00.000000,NON_COMPANY_WORKER,2
,20,2018-01-02 00:00:00.000000,COMPANY_WORKER,4
,21,2018-01-02 00:00:00.000000,NON_COMPANY_WORKER,4
,22,2018-01-02 00:00:00.000000,NON_COMPANY_WORKER,5
,23,2018-01-02 00:00:00.000000,COMPANY_WORKER,5
,24,2018-01-02 00:00:00.000000,COMPANY_WORKER,3
,25,2018-01-02 00:00:00.000000,NON_COMPANY_WORKER,3
,26,2018-01-03 00:00:00.000000,COMPANY_WORKER,1
,27,2018-01-03 00:00:00.000000,NON_COMPANY_WORKER,1
,28,2018-01-03 00:00:00.000000,COMPANY_WORKER,2
,29,2018-01-03 00:00:00.000000,NON_COMPANY_WORKER,2
,30,2018-01-03 00:00:00.000000,COMPANY_WORKER,4
,31,2018-01-03 00:00:00.000000,NON_COMPANY_WORKER,4
,32,2018-01-03 00:00:00.000000,NON_COMPANY_WORKER,5
,33,2018-01-03 00:00:00.000000,COMPANY_WORKER,5
,34,2018-01-03 00:00:00.000000,COMPANY_WORKER,3
,35,2018-01-03 00:00:00.000000,NON_COMPANY_WORKER,3
,36,2018-01-04 00:00:00.000000,COMPANY_WORKER,1
,37,2018-01-04 00:00:00.000000,NON_COMPANY_WORKER,1
,38,2018-01-04 00:00:00.000000,COMPANY_WORKER,2
,39,2018-01-04 00:00:00.000000,NON_COMPANY_WORKER,2
,40,2018-01-04 00:00:00.000000,COMPANY_WORKER,4
,41,2018-01-04 00:00:00.000000,NON_COMPANY_WORKER,4
,42,2018-01-04 00:00:00.000000,NON_COMPANY_WORKER,5
,43,2018-01-04 00:00:00.000000,COMPANY_WORKER,5
,44,2018-01-04 00:00:00.000000,COMPANY_WORKER,3
,45,2018-01-04 00:00:00.000000,NON_COMPANY_WORKER,3
,46,2018-01-05 00:00:00.000000,COMPANY_WORKER,1
,47,2018-01-05 00:00:00.000000,NON_COMPANY_WORKER,1
,48,2018-01-05 00:00:00.000000,COMPANY_WORKER,2
,49,2018-01-05 00:00:00.000000,NON_COMPANY_WORKER,2
,50,2018-01-05 00:00:00.000000,COMPANY_WORKER,4
,51,2018-01-05 00:00:00.000000,NON_COMPANY_WORKER,4
