price_id,date_when_price_set,price
1,2018-05-16 00:41:16.103089,300
2,2018-05-16 00:41:27.286799,100
3,2018-05-16 00:41:46.436388,300
4,2018-05-16 00:42:12.115875,700
5,2018-05-16 00:42:51.428185,1000
6,2018-05-16 00:47:47.465512,17500
7,2018-05-16 00:47:47.473482,20000
8,2018-05-16 00:47:47.478517,16500
9,2018-05-16 00:47:47.482345,16500
10,2018-05-16 00:47:47.486681,9000
11,2018-05-16 00:47:47.491270,9000
12,2018-05-16 00:47:47.495864,9500
13,2018-05-16 00:47:47.499922,9500
14,2018-05-16 00:47:47.504144,25000
15,2018-05-16 00:47:47.508336,25000
16,2018-05-16 00:47:47.512415,17500
17,2018-05-16 00:47:47.516828,20000
18,2018-05-16 00:47:47.520548,16500
19,2018-05-16 00:47:47.525698,16500
20,2018-05-16 00:47:47.533157,9000
21,2018-05-16 00:47:47.539629,9000
22,2018-05-16 00:47:47.545444,9500
23,2018-05-16 00:47:47.550703,9500
24,2018-05-16 00:47:47.555774,25000
25,2018-05-16 00:47:47.561143,25000
26,2018-05-16 00:47:47.566662,17500
27,2018-05-16 00:47:47.572835,20000
28,2018-05-16 00:47:47.578951,16500
29,2018-05-16 00:47:47.585275,16500
30,2018-05-16 00:47:47.591430,9000
31,2018-05-16 00:47:47.600573,9000
32,2018-05-16 00:47:47.605615,9500
33,2018-05-16 00:47:47.611192,9500
34,2018-05-16 00:47:47.615880,25000
35,2018-05-16 00:47:47.622386,25000
36,2018-05-16 00:47:47.628722,17500
37,2018-05-16 00:47:47.635315,20000
38,2018-05-16 00:47:47.643209,16500
39,2018-05-16 00:47:47.654879,16500
40,2018-05-16 00:47:47.663352,9000
41,2018-05-16 00:47:47.668464,9000
42,2018-05-16 00:47:47.675269,9500
43,2018-05-16 00:47:47.693239,9500
44,2018-05-16 00:47:47.705049,25000
45,2018-05-16 00:47:47.716269,25000
46,2018-05-16 00:47:47.722236,17500
47,2018-05-16 00:47:47.735193,20000
48,2018-05-16 00:47:47.761346,16500
49,2018-05-16 00:47:47.774417,16500
50,2018-05-16 00:47:47.786604,9000
51,2018-05-16 00:47:47.799590,9000
52,2018-05-16 00:47:47.815762,9500
53,2018-05-16 00:47:47.826559,9500
54,2018-05-16 00:47:47.855786,25000
55,2018-05-16 00:47:47.874994,25000
56,2018-05-16 00:47:47.921290,17500
57,2018-05-16 00:47:47.935002,20000
58,2018-05-16 00:47:47.993577,16500
59,2018-05-16 00:47:48.000664,16500
60,2018-05-16 00:47:48.019887,9000
61,2018-05-16 00:47:48.032278,9000
62,2018-05-16 00:47:48.039352,9500
63,2018-05-16 00:47:48.056457,9500
64,2018-05-16 00:47:48.070770,25000
65,2018-05-16 00:47:48.085401,25000
66,2018-05-16 00:47:48.107034,17500
67,2018-05-16 00:47:48.118250,20000
68,2018-05-16 00:47:48.126757,16500
69,2018-05-16 00:47:48.136632,16500
70,2018-05-16 00:47:48.168595,9000
71,2018-05-16 00:47:48.191084,9000
72,2018-05-16 00:47:48.200141,9500
73,2018-05-16 00:47:48.204774,9500
74,2018-05-16 00:47:48.209426,25000
75,2018-05-16 00:47:48.214086,25000
76,2018-05-16 00:47:48.217781,17500
77,2018-05-16 00:47:48.221823,20000
78,2018-05-16 00:47:48.226373,16500
79,2018-05-16 00:47:48.230620,16500
80,2018-05-16 00:47:48.234588,9000
81,2018-05-16 00:47:48.240876,9000
82,2018-05-16 00:47:48.246016,9500
83,2018-05-16 00:47:48.255226,9500
84,2018-05-16 00:47:48.261562,25000
85,2018-05-16 00:47:48.266782,25000
86,2018-05-16 00:47:48.271001,17500
87,2018-05-16 00:47:48.275226,20000
88,2018-05-16 00:47:48.280219,16500
89,2018-05-16 00:47:48.284532,16500
90,2018-05-16 00:47:48.288271,9000
91,2018-05-16 00:47:48.293379,9000
92,2018-05-16 00:47:48.304283,9500
93,2018-05-16 00:47:48.308979,9500
94,2018-05-16 00:47:48.319292,25000
95,2018-05-16 00:47:48.327833,25000
96,2018-05-16 00:47:48.336624,17500
97,2018-05-16 00:47:48.343232,20000
98,2018-05-16 00:47:48.360774,16500
99,2018-05-16 00:47:48.382921,16500
100,2018-05-16 00:47:48.395200,9000
101,2018-05-16 00:47:48.406321,9000
102,2018-05-16 00:47:48.412626,9500
103,2018-05-16 00:47:48.418461,9500
104,2018-05-16 00:47:48.424987,25000
105,2018-05-16 00:47:48.429374,25000
106,2018-05-16 00:47:48.434012,17500
107,2018-05-16 00:47:48.439343,20000
108,2018-05-16 00:47:48.443714,16500
109,2018-05-16 00:47:48.448274,16500
110,2018-05-16 00:47:48.454425,9000
111,2018-05-16 00:47:48.460101,9000
112,2018-05-16 00:47:48.465451,9500
113,2018-05-16 00:47:48.470794,9500
114,2018-05-16 00:47:48.475111,25000
115,2018-05-16 00:47:48.479886,25000
116,2018-05-16 00:47:48.487244,17500
117,2018-05-16 00:47:48.492642,20000
118,2018-05-16 00:47:48.505780,16500
119,2018-05-16 00:47:48.519533,16500
120,2018-05-16 00:47:48.531145,9000
121,2018-05-16 00:47:48.544686,9000
122,2018-05-16 00:47:48.553201,9500
